,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
6435,La Vida Loca,9,2020-08-28,Nasty C,https://open.spotify.com/track/2DXxBmkGjFo50Y6mBvWNYZ,South Africa,13457.0,0.798,0.677,9.0,-6.427,0.188,0.202,0.0,0.166,0.573,160.047,204181.0,Rap
6436,Tudo que Eu Queria - Ao Vivo,9,2020-10-23,Gusttavo Lima,https://open.spotify.com/track/4VfG3ntsNSyNr7lPZZyvTE,Brazil,524502.0,0.654,0.648,4.0,-4.462,0.0443,0.406,0.0,0.104,0.612,143.838,178688.0,Pop
6437,Sentiments grandissants,9,2020-11-13,Aya Nakamura,https://open.spotify.com/track/3KQLmecwyKuzu8WTjNA0HQ,France,266969.0,0.718,0.751,7.0,-5.975,0.14,0.166,0.0,0.1,0.543,97.596,141213.0,R&B
6438,Ferrari,9,2020-05-29,"Anuel AA, Lil Wayne",https://open.spotify.com/track/4mbb7hmfDR6M9cQaLdYSFd,Dominican Republic,17775.0,0.842,0.732,7.0,-4.811,0.149,0.575,0.0,0.176,0.629,140.074,188780.0,Rap
6439,ユーモア,9,2020-01-15,King Gnu,https://open.spotify.com/track/0q5UAd2D2ZC8lGZcKXdyEg,Japan,100977.0,0.729,0.731,10.0,-6.325,0.0911,0.805,4.6e-05,0.242,0.737,105.06,207427.0,Rock
6440,my ex's best friend (with blackbear),9,2020-09-25,Machine Gun Kelly,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl,United States,891324.0,0.731,0.675,5.0,-5.134,0.0434,0.00473,0.0,0.141,0.298,124.939,139461.0,Pop
6441,My Youth,9,2021-05-10,NCT DREAM,https://open.spotify.com/track/3vG5ilGpaYA2MhVtyTORF1,South Korea,6666.0,0.779,0.676,1.0,-3.777,0.0376,0.562,0.0,0.123,0.581,119.959,236093.0,R&B
6442,Boire et mousser (feat. Naza),9,2020-02-18,Chily,https://open.spotify.com/track/4U0FU6CWp0BdhlthaRcW9W,France,221685.0,0.719,0.798,0.0,-5.364,0.155,0.134,0.0,0.236,0.822,140.015,182520.0,Rap
6443,Modern Loneliness,9,2020-03-08,Lauv,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc,Hong Kong,8017.0,0.702,0.508,8.0,-7.105,0.035,0.144,0.0,0.108,0.143,82.008,252337.0,Pop
6444,RTL 7,9,2020-09-04,Kevin,https://open.spotify.com/track/1CFZGkkvIXay5uez1mzYBC,Netherlands,204970.0,0.626,0.586,0.0,-7.936,0.335,0.785,1.02e-06,0.0652,0.502,94.747,170400.0,Rap
6445,JAZDA,9,2018-12-13,Zayo,https://open.spotify.com/track/3jlQENMStdBGvVCn5AYXn4,Slovakia,5398.0,0.46,0.697,9.0,-3.925,0.0934,0.0424,0.0,0.113,0.0747,111.177,156500.0,Rap
6446,Seu Crime,9,2018-10-05,Pabllo Vittar,https://open.spotify.com/track/220QqE38Qrmyrtyd5xqB8i,Brazil,360608.0,0.788,0.667,8.0,-5.215,0.0913,0.0944,2.68e-06,0.14,0.646,127.056,154941.0,Pop
6447,Bonita,9,2020-12-25,"El Reja, Agustín Casanova, The La Planta",https://open.spotify.com/track/4KlrEwjhXnHLtmKauxVHJz,Uruguay,21836.0,0.739,0.84,0.0,-2.113,0.0332,0.177,0.0,0.137,0.606,135.036,154625.0,Pop
6448,En gros,9,2020-10-23,Koba LaD,https://open.spotify.com/track/4G8TxX2MtGhuCc6FKpycJd,France,244579.0,0.621,0.583,1.0,-7.351,0.0382,0.495,0.0,0.201,0.483,146.031,188227.0,Rap
6449,Stap Voor Stap,9,2018-09-08,"Kav Verhouzer, Sjaak",https://open.spotify.com/track/11kUvSPQThp2rjB3tAs3W9,Netherlands,140289.0,0.897,0.901,11.0,-3.733,0.157,0.00697,9.97e-05,0.0865,0.897,124.038,163987.0,Rap
