index,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
52,Despacito - Remix,1,2017-06-22,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,Belgium,35263.0,0.694,0.815,2.0,-4.328,1.0,0.12,0.229,0.0,0.0924,0.813,88.931,228827.0
53,AM,1,2021-05-13,"Nio Garcia, Flow La Movie",https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv,Paraguay,67812.0,0.83,0.517,6.0,-6.416,0.0,0.333,0.399,8.95e-05,0.0916,0.616,171.959,182496.0
54,Allah’ından Bul,1,2020-10-17,Ezhel,https://open.spotify.com/track/350aUOZhGtTOK1dQbQFKNc,Turkey,429429.0,0.893,0.49,5.0,-6.563,0.0,0.0589,0.197,0.000387,0.102,0.517,108.032,181074.0
55,Perfect,1,2017-11-29,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Philippines,208283.0,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0
56,drivers license,1,2021-01-14,Olivia Rodrigo,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS,Iceland,13644.0,0.585,0.436,10.0,-8.761,1.0,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014.0
57,VOCE,1,2021-03-20,Madame,https://open.spotify.com/track/4ylL1oPx1rY1yFivslLFOR,Italy,584627.0,0.615,0.834,8.0,-5.471,1.0,0.0667,0.105,0.0,0.157,0.341,112.602,211411.0
58,Al Mafrood,1,2019-06-14,Aseel Hameem,https://open.spotify.com/track/5Aigt44wICHJ2BDshPZqvh,Saudi Arabia,32528.0,0.599,0.527,3.0,-7.82,0.0,0.065,0.57,0.0,0.116,0.622,119.875,242846.0
59,Peaches (feat. Daniel Caesar & Giveon),1,2021-04-16,Justin Bieber,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,Singapore,55555.0,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,198082.0
60,Soy Peor,1,2017-01-10,Bad Bunny,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0,Dominican Republic,9218.0,0.732,0.605,0.0,-3.15,0.0,0.086,0.679,0.0029,0.114,0.143,115.942,257328.0
61,Astronaut In The Ocean,1,2021-04-16,Masked Wolf,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh,Saudi Arabia,12873.0,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996,132780.0
62,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),1,2018-01-23,"Anitta, Mc Zaac, Maejor",https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7,Brazil,625657.0,0.876,0.55,2.0,-5.464,1.0,0.152,0.0227,4.52e-05,0.294,0.557,129.924,201532.0
63,MONTERO (Call Me By Your Name),1,2021-04-16,Lil Nas X,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,Russia,88553.0,0.61,0.508,8.0,-6.682,0.0,0.152,0.297,0.0,0.384,0.758,178.818,137876.0
64,ROCKSTAR (feat. Roddy Ricch),1,2020-06-18,DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,Switzerland,51297.0,0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0
65,Old Town Road (feat. Billy Ray Cyrus) - Remix,1,2019-06-14,Lil Nas X,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,Romania,8914.0,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0
66,Favorito,1,2020-04-15,Camilo,https://open.spotify.com/track/0Snbzbd74RLfL0i4nn1vU5,Peru,145868.0,0.611,0.851,9.0,-2.982,1.0,0.0598,0.229,0.0,0.232,0.823,178.032,211613.0
67,Senorita,1,2019-09-03,"SNIK, Tamta",https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT,Greece,18373.0,0.476,0.684,11.0,-7.804,0.0,0.239,0.111,8.89e-05,0.169,0.529,172.648,178960.0
68,How You Like That,1,2020-08-01,BLACKPINK,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,Hong Kong,13977.0,0.828,0.782,11.0,-4.014,1.0,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,181264.0
